Datetime,Symbol,RS_Open,Future_15m,Future_30m,Future_60m,Rank
2026-05-29 13:30:00+05:30,COALINDIA.NS,-0.0135,-0.065,0.0866,-0.1949,2
2026-05-29 13:45:00+05:30,COALINDIA.NS,0.0002,0.1517,-0.1084,-0.3359,2
2026-05-29 14:00:00+05:30,COALINDIA.NS,0.209,-0.2597,-0.2813,-1.1037,2
2026-05-29 14:15:00+05:30,COALINDIA.NS,-0.3607,-0.0217,-0.2278,-0.5641,2
2026-05-29 14:30:00+05:30,COALINDIA.NS,-0.1117,-0.2062,-0.8247,-0.4123,1
2026-05-29 14:45:00+05:30,COALINDIA.NS,-0.1498,-0.6198,-0.3371,1.6962,2
2026-05-29 15:00:00+05:30,COALINDIA.NS,0.4091,0.2845,0.4158,1.9694,1
2026-05-29 15:15:00+05:30,COALINDIA.NS,-0.0645,0.1309,2.0401,1.571,1
2026-06-01 09:15:00+05:30,COALINDIA.NS,0.7498,1.9067,1.5472,2.3861,2
2026-06-01 09:30:00+05:30,COALINDIA.NS,2.0404,-0.3528,-0.4597,0.3528,1
2026-06-01 09:45:00+05:30,COALINDIA.NS,-0.2421,-0.1073,0.8262,1.1266,2
2026-06-01 10:00:00+05:30,COALINDIA.NS,-0.0738,0.9345,0.8163,1.4178,1
2026-06-01 10:15:00+05:30,COALINDIA.NS,0.989,-0.1171,0.298,0.9684,1
2026-06-01 10:30:00+05:30,COALINDIA.NS,-0.0911,0.4155,0.5966,1.0761,2
2026-06-01 10:45:00+05:30,COALINDIA.NS,0.2708,0.1804,0.6684,0.2546,1
2026-06-01 11:00:00+05:30,COALINDIA.NS,0.0372,0.4872,0.4766,0.1695,1
2026-06-01 11:15:00+05:30,COALINDIA.NS,0.6725,-0.0105,-0.411,-0.1686,1
2026-06-01 11:30:00+05:30,COALINDIA.NS,0.0576,-0.4005,-0.3057,-0.6114,1
2026-06-01 11:45:00+05:30,COALINDIA.NS,-0.1628,0.0952,0.2434,-0.1693,2
2026-06-01 12:00:00+05:30,COALINDIA.NS,-0.0576,0.148,-0.3066,-0.4018,2
2026-06-01 12:15:00+05:30,COALINDIA.NS,0.2007,-0.454,-0.4117,-0.2217,1
2026-06-01 12:30:00+05:30,COALINDIA.NS,-0.4516,0.0424,-0.0955,-0.2015,2
2026-06-01 12:45:00+05:30,COALINDIA.NS,-0.0144,-0.1378,0.1908,-0.2968,2
2026-06-01 13:00:00+05:30,COALINDIA.NS,0.085,0.3291,-0.1062,-0.3609,1
2026-06-01 13:15:00+05:30,COALINDIA.NS,0.2287,-0.4338,-0.4867,-0.4338,1
2026-06-01 13:30:00+05:30,COALINDIA.NS,-0.426,-0.0531,-0.2551,0.5845,2
2026-06-01 13:45:00+05:30,COALINDIA.NS,0.0344,-0.202,0.0532,0.4466,1
2026-06-01 14:00:00+05:30,COALINDIA.NS,-0.0669,0.2557,0.8417,0.7671,2
2026-06-01 14:15:00+05:30,COALINDIA.NS,0.3499,0.5845,0.3932,0.627,1
2026-06-01 14:30:00+05:30,COALINDIA.NS,0.4789,-0.1902,-0.074,-1.6165,1
2026-06-01 14:45:00+05:30,COALINDIA.NS,-0.0251,0.1164,0.2329,-1.7678,2
2026-06-01 15:00:00+05:30,COALINDIA.NS,0.0404,0.1163,-1.5437,-1.3534,1
2026-06-01 15:15:00+05:30,COALINDIA.NS,0.1599,-1.658,-1.996,-0.9294,2
2026-06-02 09:15:00+05:30,COALINDIA.NS,-1.1847,-0.3436,0.1933,1.5679,2
2026-06-02 09:30:00+05:30,COALINDIA.NS,-0.482,0.5388,1.0884,1.972,2
2026-06-02 09:45:00+05:30,COALINDIA.NS,0.351,0.5466,1.3719,1.329,1
2026-06-02 10:00:00+05:30,COALINDIA.NS,0.7604,0.8208,0.8741,0.2558,1
2026-06-02 10:15:00+05:30,COALINDIA.NS,0.442,0.0529,-0.0423,-0.3912,1
2026-06-02 10:30:00+05:30,COALINDIA.NS,0.1534,-0.0951,-0.6129,-0.7609,1
